bs-cyrl	dddd, dd. MMMM yyyy.	dd. MMMM yyyy.	d.M.yyyy.	dd.MM.yyyy.	d.M.yy.	MMMM yyyy.	d. MMMM	HH:mm:ss	HH:mm
bs-cyrl-ba	=	bs-cyrl
bs-latn	=	bs
bs-latn-ba	=	bs
ca	dddd, d MMMM 'del' yyyy	d MMMM 'del' yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	MMMM 'del' yyyy	d MMMM	H:mm:ss	H:mm
ca-ad	=	ca
ca-es	=	ca
ca-fr	=	ca
ca-it	=	ca
ccp	=	bn
ccp-bd	=	bn
ccp-in	=	bn
ce	yyyy MMMM d, dddd	yyyy MMMM d	yyyy-MM-dd	yyyy MMM d	yyyy MMMM	MMMM d	HH:mm:ss	HH:mm
ce-ru	=	ce
ceb	dddd, MMMM d, yyyy	MMMM d, yyyy	M/d/yyyy	MMM d, yyyy	M/d/yy	MMMM yyyy	MMMM d	h:mm:ss tt	h:mm tt
ceb-ph	=	ceb
cgg	=	asa
cgg-ug	=	asa
chr	dddd, MMMM d, yyyy	MMMM d, yyyy	M/d/yyyy	MMM d, yyyy	M/d/yy	MMMM yyyy	MMMM d	h:mm:ss tt	h:mm tt
chr-us	=	chr
ckb	yyyy MMMM d, dddd	dی MMMMی yyyy	yyyy-MM-dd	yyyy MMM d	d/M/yyyy	yyyy MMMM	MMMM d	h:mm:ss tt	h:mm tt
ckb-iq	=	ckb
ckb-ir	g yyyy MMMM d, dddd	dی MMMMی yyyy g	g yyyy-MM-dd	g yyyy MMM d	d/M/yyyy	MMMMی yyyy	MMMM d	HH:mm:ss	HH:mm
cs	dddd d. MMMM yyyy	d. MMMM yyyy	dd.MM.yyyy	d. M. yyyy	dd.MM.yy	MMMM yyyy	d. MMMM	H:mm:ss	H:mm
cs-cz	=	cs
csw	yyyy MMMM d, dddd	yyyy MMMM d	yyyy-MM-dd	yyyy MMM d	yyyy MMMM	MMMM d	h:mm:ss tt	h:mm tt
csw-ca	=	csw
cv	dddd, d MMMM yyyy 'ҫ'.	d MMMM yyyy 'ҫ'.	dd.MM.yyyy	d MMM yyyy 'ҫ'.	MMMM yyyy 'ҫ'.	d MMMM	HH:mm:ss	HH:mm
cv-ru	=	cv
cy	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	d/M/yyyy	dd/MM/yy	MMMM yyyy	MMMM d	HH:mm:ss	HH:mm
cy-gb	=	cy
da	dddd 'den' d. MMMM yyyy	d. MMMM yyyy	dd.MM.yyyy	d. MMM yyyy	d.M.yyyy	MMMM yyyy	d. MMMM	HH.mm.ss	HH.mm
da-dk	=	da
da-gl	=	da
dav	=	asa
dav-ke	=	asa
de	dddd, d. MMMM yyyy	d. MMMM yyyy	dd.MM.yyyy	dd.MM.yy	d.M.yyyy	MMMM yyyy	d. MMMM	HH:mm:ss	HH:mm
de-at	=	de
de-be	=	de
de-ch	=	de
de-de	=	de
de-it	=	de
de-li	=	de
de-lu	=	de
dje	=	agq
dje-ne	=	agq
doi	dddd, d, MMMM yyyy	d, MMMM yyyy	d/M/yyyy	d, MMM yyyy	d/M/yy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
doi-in	=	doi
dsb	dddd, d. MMMM yyyy	d. MMMM yyyy	d.M.yyyy	d.M.yy	MMMM yyyy	d. MMMM	H:mm:ss	H:mm
dsb-de	=	dsb
dua	dddd d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM yyyy	yyyy MMMM	MMMM d	HH:mm:ss	HH:mm
dua-cm	=	dua
dyo	=	dua
dyo-sn	=	dua
dz	dddd, སྤྱི་ལོ་yyyy MMMM ཚེས་dd	སྤྱི་ལོ་yyyy MMMM ཚེས་ dd	yyyy-MM-dd	སྤྱི་ལོ་yyyy ཟླ་MMM ཚེས་dd	yyyy-M-d	yyyy MMMM	MMMM d	ཆུ་ཚོད་h:mm:ss tt	ཆུ་ཚོད་ h སྐར་མ་ mm tt
dz-bt	=	dz
ebu	=	asa
ebu-ke	=	asa
ee	dddd, MMMM d 'lia' yyyy	MMMM d 'lia' yyyy	M/d/yyyy	MMM d 'lia', yyyy	M/d/yy	MMMM yyyy	MMMM d 'lia'	tt 'ga' h:mm:ss	tt 'ga' h:mm
ee-gh	=	ee
ee-tg	dddd, MMMM d 'lia' yyyy	MMMM d 'lia' yyyy	M/d/yyyy	MMM d 'lia', yyyy	M/d/yy	MMMM yyyy	MMMM d 'lia'	HH:mm:ss	HH:mm
el	dddd d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
el-cy	=	el
el-gr	=	el
en	=	ceb
en-001	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
en-150	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-ae	=	en-001
en-ag	=	en-001
en-ai	=	en-150
en-as	=	ceb
en-at	=	en-150
en-au	dddd, d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM yyyy	dd/MM/yyyy	d/M/yy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
en-bb	=	en-001
en-be	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	dd MMM yyyy	d/M/yyyy	dd/MM/yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-bi	dddd, MMMM d, yyyy	MMMM d, yyyy	M/d/yyyy	MMM d, yyyy	M/d/yy	MMMM yyyy	MMMM d	HH:mm:ss	HH:mm
en-bm	=	en-001
en-bs	=	en-001
en-bw	dddd, dd MMMM yyyy	dd MMMM yyyy	dd/MM/yyyy	dd MMM yyyy	dd/MM/yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-bz	dddd, dd MMMM yyyy	dd MMMM yyyy	dd/MM/yyyy	dd-MMM-yyyy	dd/MM/yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-ca	dddd, MMMM d, yyyy	MMMM d, yyyy	yyyy-MM-dd	MMM d, yyyy	MMMM yyyy	MMMM d	h:mm:ss tt	h:mm tt
en-cc	=	en-150
en-ch	dddd, d MMMM yyyy	d MMMM yyyy	dd.MM.yyyy	d MMM yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-ck	=	en-150
en-cm	=	en-150
en-cx	=	en-150
en-cy	=	en-001
en-de	=	en-150
en-dg	=	en-150
en-dk	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	MMMM yyyy	d MMMM	HH.mm.ss	HH.mm
en-dm	=	en-001
en-er	=	en-001
en-fi	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	MMMM yyyy	d MMMM	H.mm.ss	H.mm
en-fj	=	en-001
