ar-SY	3	٫	٬	3	1	ل.س.‏	0	٫	٬	3	3	8	٪؜	3	٫	٬	3	1	1	؜-	؜+	ليس رقمًا	∞	؜-∞	؉
ar-TD	3	٫	٬	3	1	FCFA	0	٫	٬	3	3	8	٪؜	3	٫	٬	3	1	1	؜-	؜+	ليس رقمًا	∞	؜-∞	؉
ar-TN	3	,	.	3	1	د.ت.‏	3	,	.	3	3	8	‎%‎	3	,	.	3	1	1	‎-	‎+	ليس رقمًا	∞	‎-∞	‰
ar-YE	3	٫	٬	3	1	ر.ي.‏	0	٫	٬	3	3	8	٪؜	3	٫	٬	3	1	1	؜-	؜+	ليس رقمًا	∞	؜-∞	؉
as	3	.	,	3,2	1	¤	2	.	,	3,2	2	9	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
as-IN	3	.	,	3,2	1	₹	2	.	,	3,2	2	9	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
asa	3	.	,	3	1	¤	2	.	,	3	3	8	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
asa-TZ	3	.	,	3	1	TSh	2	.	,	3	3	8	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
ast	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	ND	∞	-∞	‰
ast-ES	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	ND	∞	-∞	‰
az	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
az-Cyrl	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
az-Cyrl-AZ	3	,	.	3	1	₼	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
az-Latn	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
az-Latn-AZ	3	,	.	3	1	₼	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
bas	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
bas-CM	3	,	 	3	1	FCFA	0	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
be	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
be-BY	3	,	 	3	1	Br	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
bem	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bem-ZM	3	.	,	3	1	K	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bez	3	.	,	3	1	¤	2	.	,	3	1	5	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bez-TZ	3	.	,	3	1	TSh	2	.	,	3	1	5	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bg	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	1	1	-	+	NaN	∞	-∞	‰
